path,name,ext,size,priority_group
code/database/migrations/2025_12_05_120000_create_admin_login_audits_table.php,2025_12_05_120000_create_admin_login_audits_table.php,.php,1157,auth
code/database/seeders/GrantFilterPresetSeeder.php,GrantFilterPresetSeeder.php,.php,1061,auth
code/verify-ship.php,verify-ship.php,.php,886,auth
template/app/Auth/Auth0UserProvider.php,Auth0UserProvider.php,.php,3501,auth
template/app/Console/Commands/Auth/PruneUserLoginAuditsCommand.php,PruneUserLoginAuditsCommand.php,.php,1897,auth
template/app/Http/Controllers/Admin/Auth/Auth0Controller.php,Auth0Controller.php,.php,1154,auth
template/app/Http/Controllers/Admin/Auth/AuthenticatedSessionController.php,AuthenticatedSessionController.php,.php,3178,auth
template/app/Http/Controllers/Admin/Auth/ConfirmablePasswordController.php,ConfirmablePasswordController.php,.php,1145,auth
template/app/Http/Controllers/Admin/Auth/EmailVerificationNotificationController.php,EmailVerificationNotificationController.php,.php,761,auth
template/app/Http/Controllers/Admin/Auth/EmailVerificationPromptController.php,EmailVerificationPromptController.php,.php,689,auth
template/app/Http/Controllers/Admin/Auth/NewPasswordController.php,NewPasswordController.php,.php,2307,auth
template/app/Http/Controllers/Admin/Auth/PasswordController.php,PasswordController.php,.php,874,auth
template/app/Http/Controllers/Admin/Auth/PasswordResetLinkController.php,PasswordResetLinkController.php,.php,1837,auth
template/app/Http/Controllers/Admin/Auth/RegisteredUserController.php,RegisteredUserController.php,.php,1449,auth
template/app/Http/Controllers/Admin/Auth/VerifyEmailController.php,VerifyEmailController.php,.php,904,auth
template/app/Http/Controllers/Api/Integrations/TurboTaxOAuthController.php,TurboTaxOAuthController.php,.php,2590,auth
template/app/Http/Controllers/Api/V1/AuthController.php,AuthController.php,.php,7748,auth
template/app/Http/Controllers/Auth/AuthenticatedSessionController.php,AuthenticatedSessionController.php,.php,1645,auth
template/app/Http/Controllers/Auth/ConfirmablePasswordController.php,ConfirmablePasswordController.php,.php,1139,auth
template/app/Http/Controllers/Auth/EmailVerificationNotificationController.php,EmailVerificationNotificationController.php,.php,755,auth
template/app/Http/Controllers/Auth/EmailVerificationPromptController.php,EmailVerificationPromptController.php,.php,683,auth
template/app/Http/Controllers/Auth/MFAController.php,MFAController.php,.php,2962,auth
template/app/Http/Controllers/Auth/NewPasswordController.php,NewPasswordController.php,.php,2264,auth
